ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-07-22,413.87390036683644,197.37606233914542,683.3124993177769,413.87390036683644,413.87390036683644,25.9726158869128,25.9726158869128,25.9726158869128,-6.269982582458999,-6.269982582458999,-6.269982582458999,32.242598469371806,32.242598469371806,32.242598469371806,0.0,0.0,0.0,439.84651625374926
2022-07-23,414.298872090607,329.4372650864106,821.1166324028164,414.298872090607,414.298872090607,156.71460081336255,156.71460081336255,156.71460081336255,119.44434641478676,119.44434641478676,119.44434641478676,37.270254398575766,37.270254398575766,37.270254398575766,0.0,0.0,0.0,571.0134729039696
2022-07-24,414.7238438143775,312.17731856612824,808.6353739496707,414.7238438143775,414.7238438143775,141.88794173367657,141.88794173367657,141.88794173367657,99.89851885993727,99.89851885993727,99.89851885993727,41.98942287373932,41.98942287373932,41.98942287373932,0.0,0.0,0.0,556.6117855480541
2022-07-25,415.1488155381481,185.45023990131784,642.0756787702587,415.1488155381481,415.1488155381481,-3.047520113266497,-3.047520113266497,-3.047520113266497,-49.4400663748044,-49.4400663748044,-49.4400663748044,46.39254626153791,46.39254626153791,46.39254626153791,0.0,0.0,0.0,412.1012954248816
2022-07-26,415.57378726191865,157.90079832093014,645.0891385699122,415.57378726191865,415.57378726191865,-9.269814043409394,-9.269814043409394,-9.269814043409394,-59.74853553897942,-59.74853553897942,-59.74853553897942,50.478721495570035,50.478721495570035,50.478721495570035,0.0,0.0,0.0,406.30397321850927
2022-07-27,415.9987589856893,171.13245255797017,671.3858199969441,415.9987589856893,415.9987589856893,11.068611928128659,11.068611928128659,11.068611928128659,-43.1850277365278,-43.1850277365278,-43.1850277365278,54.25363966465645,54.25363966465645,54.25363966465645,0.0,0.0,0.0,427.0673709138179
2022-07-28,416.4237307094598,144.96000170253396,646.3562897118851,416.4237307094598,416.4237307094598,-2.9699249571406074,-2.9699249571406074,-2.9699249571406074,-60.69925304233352,-60.69925304233352,-60.69925304233352,57.72932808519292,57.72932808519292,57.72932808519292,0.0,0.0,0.0,413.45380575231917
2022-07-29,416.84870243323036,220.0202393433614,708.2347982652013,416.84870243323036,416.84870243323036,54.65371481980157,54.65371481980157,54.65371481980157,-6.26998258240341,-6.26998258240341,-6.26998258240341,60.92369740220498,60.92369740220498,60.92369740220498,0.0,0.0,0.0,471.5024172530319
2022-07-30,417.27367415700087,338.97839535747147,840.4737715902688,417.27367415700087,417.27367415700087,183.30424874557878,183.30424874557878,183.30424874557878,119.44434641483527,119.44434641483527,119.44434641483527,63.859902330743495,63.859902330743495,63.859902330743495,0.0,0.0,0.0,600.5779229025796
2022-07-31,417.6986458807715,334.35510443680147,814.6748220734373,417.6986458807715,417.6986458807715,166.4640494857528,166.4640494857528,166.4640494857528,99.89851885982229,99.89851885982229,99.89851885982229,66.56553062593053,66.56553062593053,66.56553062593053,0.0,0.0,0.0,584.1626953665243
2022-08-01,418.123617604542,199.72067449083016,683.791643931673,418.123617604542,418.123617604542,19.631574195516485,19.631574195516485,19.631574195516485,-49.44006637487067,-49.44006637487067,-49.44006637487067,69.07164057038715,69.07164057038715,69.07164057038715,0.0,0.0,0.0,437.75519180005847
2022-08-02,418.5485893283126,188.94688378448043,667.4683488252468,418.5485893283126,418.5485893283126,11.66313697059591,11.66313697059591,11.66313697059591,-59.74853553895536,-59.74853553895536,-59.74853553895536,71.41167250955125,71.41167250955125,71.41167250955125,0.0,0.0,0.0,430.2117262989085
2022-08-03,418.9735610520831,213.14264606901827,707.9006743753013,418.9735610520831,418.9735610520831,30.435236839038993,30.435236839038993,30.435236839038993,-43.18502773655585,-43.18502773655585,-43.18502773655585,73.62026457559483,73.62026457559483,73.62026457559483,0.0,0.0,0.0,449.40879789112205
2022-08-04,419.39853277585365,193.95954264029643,667.4676923208758,419.39853277585365,419.39853277585365,15.032753519763059,15.032753519763059,15.032753519763059,-60.6992530423976,-60.6992530423976,-60.6992530423976,75.73200656216066,75.73200656216066,75.73200656216066,0.0,0.0,0.0,434.4312862956167
2022-08-05,419.8235044996242,243.95054526540386,734.5303743529661,419.8235044996242,419.8235044996242,71.51018622468962,71.51018622468962,71.51018622468962,-6.26998258220029,-6.26998258220029,-6.26998258220029,77.7801688068899,77.7801688068899,77.7801688068899,0.0,0.0,0.0,491.33369072431384
2022-08-06,420.2484762233948,372.34180855811877,873.0632751024107,420.2484762233948,420.2484762233948,199.2397912086057,199.2397912086057,199.2397912086057,119.44434641488377,119.44434641488377,119.44434641488377,79.79544479372193,79.79544479372193,79.79544479372193,0.0,0.0,0.0,619.4882674320005
2022-08-07,420.65921450510274,351.3934699802494,841.8082835118349,420.65921450510274,420.65921450510274,181.70326577954629,181.70326577954629,181.70326577954629,99.89851886024323,99.89851886024323,99.89851886024323,81.80474691930306,81.80474691930306,81.80474691930306,0.0,0.0,0.0,602.362480284649
2022-08-08,421.06995278681063,202.35911609592912,704.6139751233131,421.06995278681063,421.06995278681063,34.39002804945893,34.39002804945893,34.39002804945893,-49.44006637493692,-49.44006637493692,-49.44006637493692,83.83009442439584,83.83009442439584,83.83009442439584,0.0,0.0,0.0,455.45998083626955
2022-08-09,421.4806910685186,209.52255742279655,693.1958720655385,421.4806910685186,421.4806910685186,26.13909531578489,26.13909531578489,26.13909531578489,-59.74853553891939,-59.74853553891939,-59.74853553891939,85.88763085470428,85.88763085470428,85.88763085470428,0.0,0.0,0.0,447.6197863843035
2022-08-10,421.8914293502266,229.04087632393671,690.2700413598154,421.8914293502266,421.8914293502266,44.801777867668434,44.801777867668434,44.801777867668434,-43.18502773655246,-43.18502773655246,-43.18502773655246,87.9868056042209,87.9868056042209,87.9868056042209,0.0,0.0,0.0,466.693207217895
2022-08-11,422.3021676319345,216.62064358774978,687.0423397422701,422.3021676319345,422.3021676319345,29.43049711893024,29.43049711893024,29.43049711893024,-60.699253042372256,-60.699253042372256,-60.699253042372256,90.1297501613025,90.1297501613025,90.1297501613025,0.0,0.0,0.0,451.7326647508647
2022-08-12,422.71290591364243,273.5693700058055,746.7494569827938,422.71290591364243,422.71290591364243,86.04089212872454,86.04089212872454,86.04089212872454,-6.269982582660025,-6.269982582660025,-6.269982582660025,92.31087471138457,92.31087471138457,92.31087471138457,0.0,0.0,0.0,508.75379804236695
2022-08-13,423.1236441953503,395.81815267296207,881.5398954011897,423.1236441953503,423.1236441953503,213.96105128971737,213.96105128971737,213.96105128971737,119.44434641493228,119.44434641493228,119.44434641493228,94.51670487478508,94.51670487478508,94.51670487478508,0.0,0.0,0.0,637.0846954850676
2022-08-14,423.53438247705833,402.0680947673898,866.1332640001953,423.53438247705833,423.53438247705833,196.62449058044942,196.62449058044942,196.62449058044942,99.89851886012826,99.89851886012826,99.89851886012826,96.72597172032117,96.72597172032117,96.72597172032117,0.0,0.0,0.0,620.1588730575078
2022-08-15,423.9451207587662,227.4309098230206,710.5932865140735,423.9451207587662,423.9451207587662,49.46989460598233,49.46989460598233,49.46989460598233,-49.4400663750232,-49.4400663750232,-49.4400663750232,98.90996098100553,98.90996098100553,98.90996098100553,0.0,0.0,0.0,473.41501536474857
2022-08-16,424.3558590404742,234.23660448632785,711.0187976181965,424.3558590404742,424.3558590404742,41.284584259857766,41.284584259857766,41.284584259857766,-59.74853553890719,-59.74853553890719,-59.74853553890719,101.03311979876496,101.03311979876496,101.03311979876496,0.0,0.0,0.0,465.6404433003319
2022-08-17,424.76659732218206,250.69609504319482,722.7221302440998,424.76659732218206,424.76659732218206,59.86888382648421,59.86888382648421,59.86888382648421,-43.185027736549095,-43.185027736549095,-43.185027736549095,103.05391156303331,103.05391156303331,103.05391156303331,0.0,0.0,0.0,484.63548114866626
2022-08-18,425.17733560389,221.48823089701438,703.3244101404805,425.17733560389,425.17733560389,44.22664866319937,44.22664866319937,44.22664866319937,-60.699253042341034,-60.699253042341034,-60.699253042341034,104.9259017055404,104.9259017055404,104.9259017055404,0.0,0.0,0.0,469.4039842670894
2022-08-19,425.588073885598,301.959273693716,761.0082322953136,425.588073885598,425.588073885598,100.32906731797449,100.32906731797449,100.32906731797449,-6.269982582555265,-6.269982582555265,-6.269982582555265,106.59904990052975,106.59904990052975,106.59904990052975,0.0,0.0,0.0,525.9171412035726
2022-08-20,425.9988121673059,410.9778870776021,887.4972011000162,425.9988121673059,425.9988121673059,227.46552363776945,227.46552363776945,227.46552363776945,119.44434641502467,119.44434641502467,119.44434641502467,108.02117722274478,108.02117722274478,108.02117722274478,0.0,0.0,0.0,653.4643358050754
2022-08-21,426.40955044901386,397.11019192283885,856.4984258146908,426.40955044901386,426.40955044901386,209.03808950992223,209.03808950992223,209.03808950992223,99.89851886004318,99.89851886004318,99.89851886004318,109.13957064987903,109.13957064987903,109.13957064987903,0.0,0.0,0.0,635.4476399589361
2022-08-22,426.82028873072176,257.63568441389276,739.5838824227683,426.82028873072176,426.82028873072176,60.46261568664917,60.46261568664917,60.46261568664917,-49.440066374681955,-49.440066374681955,-49.440066374681955,109.90268206133113,109.90268206133113,109.90268206133113,0.0,0.0,0.0,487.2829044173709
2022-08-23,427.2310270124297,230.8791571221816,714.1139751117731,427.2310270124297,427.2310270124297,50.51333921906606,50.51333921906606,50.51333921906606,-59.74853553901874,-59.74853553901874,-59.74853553901874,110.2618747580848,110.2618747580848,110.2618747580848,0.0,0.0,0.0,477.74436623149575
2022-08-24,427.64176529413766,246.1959249729226,732.6942908655602,427.64176529413766,427.64176529413766,66.98813991990521,66.98813991990521,66.98813991990521,-43.185027736545734,-43.185027736545734,-43.185027736545734,110.17316765645094,110.17316765645094,110.17316765645094,0.0,0.0,0.0,494.6299052140429
2022-08-25,428.0525035758456,217.75934972901746,714.1876334123846,428.0525035758456,428.0525035758456,48.89967276447027,48.89967276447027,48.89967276447027,-60.699253042315675,-60.699253042315675,-60.699253042315675,109.59892580678594,109.59892580678594,109.59892580678594,0.0,0.0,0.0,476.9521763403159
2022-08-26,428.46324185755356,281.83174246790276,758.8786218872514,428.46324185755356,428.46324185755356,102.23946325164243,102.23946325164243,102.23946325164243,-6.269982582499676,-6.269982582499676,-6.269982582499676,108.50944583414211,108.50944583414211,108.50944583414211,0.0,0.0,0.0,530.702705109196
